Species,number,sex,m1 md,m2 md,m3 md,m1 bl tri,m1 bl tal,m2 bl tri,m2 bl tal,m3 bl tri,m3 bl tal
Ateles_geoffroyi_vellerosus,292205,F,5.25,5.25,4.37,,4.87,5.25,4.75,4.25,3.75
Ateles_geoffroyi_vellerosus,292207,F,5.25,5.37,,5.37,5.12,5.5,5.37,4.75,
Ateles_geoffroyi_vellerosus,292211,F,5.5,5.12,5.12,5,5,5,4.75,4.62,4.62
Ateles_geoffroyi_vellerosus,292213,F,5.12,5,4.5,5.12,4.87,5,4.87,4.5,3.75
Ateles_geoffroyi_vellerosus,292224,F,5.5,5.37,5.25,,5.12,,5,,4.5
Ateles_geoffroyi_vellerosus,292225,F,5.5,5.5,5.12,5.12,,5.25,4.87,4.75,4.37
Ateles_geoffroyi_vellerosus,292232,F,5.37,5.5,5,5,5,,5,4.87,4.5
Ateles_geoffroyi_vellerosus,372233,F,5.62,5.87,5.5,5.5,5.25,5.5,5.25,5.37,5
Ateles_geoffroyi_vellerosus,145203,M,5.31,5.31,,,,,4.43,,
Ateles_geoffroyi_vellerosus,2385,M,5.43,5.5,5.37,5.43,5.37,5.62,5.56,5.06,5.06
Ateles_geoffroyi_vellerosus,143462,M,5.37,5.43,5,,4.87,5.18,5.06,4.43,4.56
Ateles_geoffroyi_vellerosus,17205,M,5.62,5.75,4.87,5,5.12,5.18,5.12,4.37,4.43
Ateles_geoffroyi_vellerosus,17208,M,5.62,5.25,5.06,,5.31,5.18,5.18,4.56,4.75
Ateles_geoffroyi_vellerosus,176650,M,5,5.18,4.87,,4.68,4.87,4.87,4.93,4.68
Ateles_geoffroyi_vellerosus,176648,M,4.87,5,,,4.68,,4.87,4.56,
Ateles_geoffroyi_vellerosus,292240,M,5.5,5.56,5.18,,,,,5.06,4.56
Ateles_geoffroyi_vellerosus,292242,M,5.31,5.56,,5.37,4.87,5.56,5.31,5.06,4.87
Ateles_geoffroyi_vellerosus,292234,M,5.25,5.25,5.25,4.87,4.62,5,4.87,4.87,4.75
Ateles_geoffroyi_vellerosus,292235,M,5.25,5,,4.75,4.62,,,4.37,4.12
Ateles_geoffroyi_vellerosus,292236,M,5.37,5.37,5.37,5.37,4.87,5.25,5,4.62,4.37
Ateles_geoffroyi_vellerosus,292237,M,5.37,5.75,,5.37,5,5.37,5.25,,
Ateles_geoffroyi_vellerosus,292238,M,5.62,5.37,,,,,,,
Ateles_geoffroyi_vellerosus,292239,M,5.25,5.5,4.87,5.25,5,5.25,5.25,4.5,4.37
Ateles_geoffroyi_vellerosus,292241,M,5.62,5.37,5,5.25,5.12,,5.12,5,4.62
Ateles_geoffroyi_vellerosus,292215,M,5.62,5.5,5.12,,,5.37,5.25,4.75,4.62
Ateles_geoffroyi_vellerosus,292217,M,5.25,5.12,4.5,,4.87,,5,4,4.12
Ateles_geoffroyi_vellerosus,292219,M,5,4.87,4.37,,,4.62,4.75,4.12,4.12
Ateles_geoffroyi_vellerosus,292220,M,5.12,5.12,4.62,4.62,4.87,4.75,4.62,4.25,4.37
Ateles_geoffroyi_vellerosus,292208,M,5.37,5.12,5.12,4.87,4.62,5,4.75,4.75,4.25
Ateles_geoffroyi_vellerosus,292204,M,5.75,5.5,5.25,5,5,5.12,5.12,4.75,4.87
Ateles_paniscus_chameck,78450,?,5.37,5.37,4.62,5,4.75,4.87,4.75,4.25,3.75
Ateles_paniscus_chameck,78449,?,4.87,4.87,4,4.75,4.37,4.62,4.37,4,3.37
Ateles_paniscus_chameck,78448,?,5.12,5.12,4.75,,4.75,4.75,4.5,4.37,4.12
Ateles_paniscus_chameck,79941,?,5.5,5.37,5.12,5,4.75,4.75,4.87,4.5,4.25
Ateles_paniscus_chameck,21385,F,5.25,5.25,4.75,4.87,4.75,5,4.87,4.12,4.25
Ateles_paniscus_chameck,79946,F,5.25,5.25,4.62,5,5,4.75,4.75,4.37,4.37
Ateles_paniscus_chameck,79950,F,5.25,5.12,4.5,4.12,,4,4.25,3.75,3.62
Ateles_paniscus_chameck,79943,F,5.37,5.5,5.37,5,4.75,5,5.12,4.62,4.25
